LISTING_NEIGHBOURHOOD,MONTH_YEAR,MAXIMUM_PRICE,MINIMUM_PRICE,MEDIAN_PRICE,AVERAGE_PRICE,DISTINCT_HOST,SUPERHOST_RATE,AVG_REVIEW_SCORES_RATINGS,PERCENTAGE_CHANGE_FOR_ACTIVE_LISTING,PERCENTAGE_CHANGE_FOR_INACTIVE_LISTING,TOTAL_NUMBER_OF_STAYS,AVG_ESTIMATED_REVENUE
Burwood,1/09/2020,530,15,66,92.40425856,158,7.2243,89.857923,7.35,,25416,1338.481787
Camden,1/09/2020,400,35,92,110.473125,42,35.4167,95.205882,2.13,,19250,1825.716458
Campbelltown,1/09/2020,510,25,74.215,114.8643,71,28,92.467532,6.38,,53480,1246.469
Canada Bay,1/09/2020,1450,25,100,145.696825,345,9,93.876494,12.04,,139638,2895.26235
Canterbury-Bankstown,1/09/2020,650,13,70,92.06618271,475,13.0506,90.635638,10.05,,366795,1337.681289
Cumberland,1/09/2020,15000,15,85,176.1113779,360,16.4927,91.423529,12.71,,139080,3934.399395
Fairfield,1/09/2020,840,20,78,94.34478261,54,14.1304,89.558824,3.37,,28773,962.9030435
Georges River,1/09/2020,1250,21,70,104.7388305,298,14.7971,92.8,17.7,,133501,1838.249165
Hornsby,1/09/2020,5000,20,85,155.722,316,24.7191,93.597668,9.34,,271286,2732.321326
Hunters Hill,1/09/2020,1100,30,170,258.4172,50,8,95.382353,11.11,,6030,5519.6832
Inner West,1/09/2020,9021,17,100,157.9803219,1901,15.7025,93.486569,12.2,,967708,3249.363193
Lane Cove,1/09/2020,2069,25,100,205.3459468,229,13.289,92.21393,9.45,,49761,4042.708638
Liverpool,1/09/2020,522,24,85,115.5620438,102,20.438,92.623529,-4.2,,63954,1404.291971
Mosman,1/09/2020,13748,30,200,428.6095437,349,12.6984,94.861635,14.81,,10636,8630.074008
North Sydney,1/09/2020,14589,26,128.5,200.9766537,978,15.3666,94.113356,10.8,,348400,3998.798799
Northern Beaches,1/09/2020,10000,15,190,329.1458838,3983,16.6219,95.007499,8.43,,6115815,7041.914067
Parramatta,1/09/2020,3000,20,80,111.0168089,395,14.6568,90.08631,7.37,,337107,1702.324063
Penrith,1/09/2020,2399,24,100,185.0843373,113,29.5181,95.421488,6.41,,58575,2175.166928
Randwick,1/09/2020,10000,14,106,189.0214731,2506,10.2768,92.332653,12.17,,1089015,4017.874181
Ryde,1/09/2020,829,16,80,100.0220973,463,16.443,92.818627,11.61,,141557,1762.000487
